Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message
221982,386,Ozone (O3),Mean,ppb,UHF34,503504,Southern SI,Summer 2010,06/01/2010,35.76,
333970,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,107,Hunts Point - Mott Haven,Annual Average 2015,01/01/2015,9.62,
131014,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,408,Jamaica,2005-2007,01/01/2005,5.5,
742338,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,302,Central Harlem - Morningside Heights,Annual Average 2021,01/01/2021,6.78,
166807,375,Nitrogen dioxide (NO2),Mean,ppb,CD,107,Upper West Side (CD7),Summer 2012,06/01/2012,23.57,
603095,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Annual Average 2018,01/01/2018,16.26,
170235,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,201,Mott Haven and Melrose (CD1),Annual Average 2010,12/01/2009,10.88,
643661,375,Nitrogen dioxide (NO2),Mean,ppb,CD,314,Flatbush and Midwood (CD14),Summer 2019,06/01/2019,12.38,
412703,375,Nitrogen dioxide (NO2),Mean,ppb,CD,204,Highbridge and Concourse (CD4),Winter 2015-16,12/01/2015,24.9,
741112,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,501502,Northern SI,Winter 2020-21,12/01/2020,20.34,
172609,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2009,12/01/2008,21.14,
213796,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,401,Long Island City and Astoria (CD1),Winter 2013-14,12/01/2013,12.3,
227605,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,314,Flatbush and Midwood (CD14),2011,01/01/2011,1.4,
170408,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,109,Morningside Heights and Hamilton Heights (CD9),Annual Average 2013,12/01/2012,9.75,
